区分,部品名称,url,参考単価,確認日,備考
基本,piyopiyo-pcb,https://github.com/piyopiyoex/piyopiyo-pcb,449.28,2026-03-09,
基本,3.5インチspiシリアル液晶ディスプレイモジュール480*320 tftモジュールil9488,https://ja.aliexpress.com/item/1005006201752670.html,1589,2026-03-31,
基本,[118078]Seeed Studio XIAO ESP32S3,https://akizukidenshi.com/catalog/g/g118078/,1480,2026-03-31,
基本,[109797]基板取付用スピーカーユニット 8Ω0.08W UGSM23A,https://akizukidenshi.com/catalog/g/g109797/,150,2026-03-31,
基本,[112634]Groveコネクター L型 スルーホール,https://akizukidenshi.com/catalog/g/g112634/,30,2026-03-31,
基本,10個 NJM2113 NJM2113M JRC2113 2113 SOP8,https://www.amazon.co.jp/dp/B0CTBSHFVH/,63,2026-03-31,
基本,[114862]半固定ボリューム TSR-3362W 10KΩ,https://akizukidenshi.com/catalog/g/g114862/,20,2026-03-31,
基本,[116155]三端子レギュレーター 3.3V AZ1117CH-3.3TRG1,https://akizukidenshi.com/catalog/g/g116155/,30,2026-03-31,
基本,1×7=7P　ピンソケット　金メッキ　2.54mmピッチ　6個入　＜con-013＞,https://item.rakuten.co.jp/sapporo-boueki/con-013/,9.17,2026-03-31,
基本,1×4=4P　ピンヘッダ　金メッキ　2.54mmピッチ　6個入　＜con-003＞,https://item.rakuten.co.jp/sapporo-boueki/con-003/,7.33,2026-03-31,
基本,1×4=4P　ピンソケット　金メッキ　2.54mmピッチ　6個入　＜con-004＞,https://item.rakuten.co.jp/sapporo-boueki/con-004/,7.33,2026-03-31,
基本,1×14=14P　ピンソケット　金メッキ　2.54mmピッチ　6個入　＜con-034＞,https://item.rakuten.co.jp/sapporo-boueki/con-034/,12.83,2026-03-31,
オプション,USR-ES1 W5500 チップ新しい SPI から LAN/イーサネットコンバータ TCP/IP Mod,https://ja.aliexpress.com/item/1005009041917816.html,536,2026-03-31,
オプション,ST7789 ドライブ LCD OLED ディスプレイ IPS HD TFT IC SPI 通信電圧 SPI インターフェースフルカラー DIY 240*240 3.3V Arduino 用,https://ja.aliexpress.com/item/1005006085584965.html,525,2026-03-31,
